info,RG_Goggles_kD09939S 39500 W0U0B0R12G15C4A0
land,Cinder Glade,3,,R-G,500,2016-05-27T19:19:48+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000235JN/,
land,Drownyard Temple,4,,C,250,2016-05-27T19:19:49+09:00,http://www.hareruyamtg.com/jp/g/gSOI000271JN/,
land,Forest,8,,G,20,2016-05-27T19:19:50+09:00,http://www.hareruyamtg.com/jp/g/gSOI000297JN/,
land,Game Trail,4,,R-G,350,2016-05-27T19:19:51+09:00,http://www.hareruyamtg.com/jp/g/gSOI000276JN/,
land,Mountain,5,,R,20,2016-05-27T19:19:52+09:00,http://www.hareruyamtg.com/jp/g/gSOI000294JN/,
info,24 Lands 4160
creature,Dragonlord Atarka,1,5RG,nil,1600,2016-05-27T19:19:54+09:00,http://www.hareruyamtg.com/jp/g/gDTK000005JN/,
creature,World Breaker,3,6G,nil,1300,2016-05-27T19:19:57+09:00,http://www.hareruyamtg.com/jp/g/gOGW000126JN/,
info,4 Creatures 5500
spell,Fall of the Titans,2,‚w‚wR,nil,100,2016-05-27T19:19:58+09:00,http://www.hareruyamtg.com/jp/g/gOGW000109JN/,
spell,Fiery Impulse,3,R,nil,60,2016-05-27T19:20:00+09:00,http://www.hareruyamtg.com/jp/g/gORI000145JN/,
spell,Kozilek's Return,3,2R,nil,1300,2016-05-27T19:20:02+09:00,http://www.hareruyamtg.com/jp/g/gOGW000098JN/,
spell,Magmatic Insight,4,R,nil,180,2016-05-27T19:20:04+09:00,http://www.hareruyamtg.com/jp/g/gORI000155JN/,
spell,Nissa's Pilgrimage,4,2G,nil,60,2016-05-27T19:20:06+09:00,http://www.hareruyamtg.com/jp/g/gORI000190JN/,
spell,Tormenting Voice,4,1R,nil,20,2016-05-27T19:20:08+09:00,http://www.hareruyamtg.com/jp/g/gSOI000186JN/,
spell,Traverse the Ulvenwald,4,G,nil,450,2016-05-27T19:20:10+09:00,http://www.hareruyamtg.com/jp/g/gSOI000234JN/,
spell,Hedron Archive,3,4,CC,50,2016-05-27T19:20:12+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000223JN/,
spell,Pyromancer's Goggles,3,5,nil,650,2016-05-27T19:20:13+09:00,http://www.hareruyamtg.com/jp/g/gORI000236JN/,
spell,ChandraPERIOD Flamecaller,2,4RR,nil,3000,2016-05-27T19:20:15+09:00,http://www.hareruyamtg.com/jp/g/gOGW000104JN/,
info,32 Spells 15220
info,60 MainboardCards 24880 109 W0U0B0R21G12C0
sideboardCards,Dragonlord Atarka,1,5RG,nil,1600,2016-05-27T19:20:16+09:00,http://www.hareruyamtg.com/jp/g/gDTK000005JN/,
sideboardCards,Goblin Dark-Dwellers,3,3RR,nil,500,2016-05-27T19:20:18+09:00,http://www.hareruyamtg.com/jp/g/gOGW000110JN/,
sideboardCards,Tireless Tracker,4,2G,nil,1300,2016-05-27T19:20:19+09:00,http://www.hareruyamtg.com/jp/g/gSOI000233JN/,
sideboardCards,UlamogPERIOD the Ceaseless Hunger,1,10,nil,1700,2016-05-27T19:20:21+09:00,http://www.hareruyamtg.com/jp/g/gBFZ000015JN/,
sideboardCards,Fiery Impulse,1,R,nil,60,2016-05-27T19:20:22+09:00,http://www.hareruyamtg.com/jp/g/gORI000145JN/,
sideboardCards,Kozilek's Return,1,2R,nil,1300,2016-05-27T19:20:24+09:00,http://www.hareruyamtg.com/jp/g/gOGW000098JN/,
sideboardCards,Rending Volley,1,R,nil,100,2016-05-27T19:20:26+09:00,http://www.hareruyamtg.com/jp/g/gDTK000115JN/,
sideboardCards,Roast,2,1R,nil,80,2016-05-27T19:20:37+09:00,http://www.hareruyamtg.com/jp/g/gDTK000116JN/,
sideboardCards,ChandraPERIOD Flamecaller,1,4RR,nil,3000,2016-05-27T19:20:39+09:00,http://www.hareruyamtg.com/jp/g/gOGW000104JN/,
info,15 SideboardCards 14620 59 W0U0B0R14G5C0
info,http://www.hareruyamtg.com//jp/k/kD09939S/
